Driver,Q1Time_s,Q2Time_s,Q3Time_s,QualifyingTime_s
VER,71.431,70.875,70.669,70.669
PER,,,,
HAM,71.575,70.883,70.382,70.382
RUS,71.507,,,71.507
LEC,71.229,70.581,70.063,70.063
SAI,71.707,71.362,,71.362
NOR,71.285,70.57,69.954,69.954
PIA,71.308,70.858,70.129,70.129
ALO,71.674,71.182,70.924,70.924
STR,72.563,,,72.563
OCO,71.839,71.262,70.942,70.942
GAS,71.994,,,71.994
TSU,71.8,71.415,,71.415
RIC,,,,
ALB,71.629,70.732,71.213,70.732
SAR,,,,
BOT,,,,
ZHO,,,,
MAG,,,,
HUL,71.871,71.596,,71.596
BEA,71.979,,,71.979
ANT,71.88,,,71.88
HAD,71.811,71.04,70.923,70.923
DOO,,,,
BOR,71.902,,,71.902
LAW,71.818,71.25,71.129,71.129
